,,Model,Make_Year,Driven_Kilometers,Fuel,Transmission,Owner(s),Mileage,Engine,Price,Location
1,, Maruti Wagon R,2017,41174,Petrol,Automatic,1,20.51,998,430000,Ahmedabad
2,,Hyundai Verna CRDi . AT SX Plus,2017,70000,Diesel,Automatic,1,22,1582,894999,Ahmedabad
3,,Audi A  TDI Premium Plus,2018,14667,Diesel,Automatic,1,18.25,1968,3200000,Ahmedabad
4,,Honda City i VTEC CVT VX,2016,55000,Petrol,Automatic,1,18,1497,877999,Ahmedabad
5,,Mercedes-Benz E-Class Exclusive E  d BSIV,2019,30486,Diesel,Automatic,1,16.1,1950,4800000,Ahmedabad
6,,Honda City V CVT,2019,28707,Petrol,Automatic,1,18.4,1498,1050000,Ahmedabad
7,,Kia Seltos HTX Plus AT D,2019,34000,Diesel,Automatic,1,17.8,1493,1350000,Ahmedabad
8,,Honda City i-VTEC CVT V,2019,13300,Petrol,Automatic,1,18,1497,1200000,Ahmedabad
9,,Kia Seltos HTX Plus AT D,2019,35000,Diesel,Automatic,1,17.8,1493,1575000,Ahmedabad
10,,Audi Q  TDI Quattro Premium,2014,71003,Diesel,Automatic,1,15.73,1968,1650000,Ahmedabad
11,,Skoda Kodiaq . TDI Style,2017,100000,Diesel,Automatic,1,16.25,1968,2550000,Ahmedabad
12,,Hyundai Creta . CRDi AT SX Plus,2015,95106,Diesel,Automatic,1,17.01,1582,900000,Ahmedabad
13,,Toyota Innova Crysta - . GX AT BSIV,2016,72000,Diesel,Automatic,1,11.36,2755,1650000,Ahmedabad
14,,Honda City . S AT,2009,58693,Petrol,Automatic,2,16.8,1497,345000,Ahmedabad
15,,Ford Endeavour . Titanium AT X Sunroof,2018,46000,Diesel,Automatic,1,12.62,2198,2500000,Ahmedabad
16,,Hyundai Verna VTVT . AT SX Plus,2019,11900,Petrol,Automatic,1,17,1591,1135000,Ahmedabad
17,,Hyundai Creta . CRDi AT SX Plus,2015,72568,Diesel,Automatic,1,17.01,1582,891000,Ahmedabad
18,,Ford Endeavour . Titanium AT X,2016,116000,Diesel,Automatic,1,12.62,2198,2350000,Ahmedabad
19,,Honda City . V AT,2009,102844,Petrol,Automatic,1,16.8,1497,375000,Ahmedabad
20,,Honda Amaze - VX CVT Petrol BSIV,2017,69000,Petrol,Automatic,1,19,1199,651000,Ahmedabad
21,,Toyota Corolla Altis . VL AT,2011,60000,Petrol,Automatic,1,14.53,1794,475000,Ahmedabad
22,,Nissan Micra XV CVT,2014,77000,Petrol,Automatic,2,19.34,1198,350000,Ahmedabad
23,,Audi Q . TDI,2013,91000,Diesel,Automatic,2,14.16,1968,1850000,Ahmedabad
24,,Jaguar XF . Litre S Premium Luxury,2013,75000,Diesel,Automatic,1,14.74,2993,1811000,Ahmedabad
25,,Maruti Swift AMT VDI,2018,37383,Diesel,Automatic,1,28.4,1248,590000,Ahmedabad
26,,BMW  Series d Luxury Line,2013,93000,Diesel,Automatic,1,18.88,1995,1493000,Ahmedabad
27,,Audi A  TDI Premium Plus,2018,14667,Diesel,Automatic,1,18.25,1968,3200000,Ahmedabad
